review,binary_rating
"Si buscas un hotel en el Centro de Monterrey Hotel Krystal Monterrey es tu mejor opción, cuenta con habitaciones amplias, escritorio para trabajar y sobretodo con suficiente luz. La limpieza es impecable. Les recomiendo el restaurante con un desayuno buffet muy completo, para la hora de la comida su platillo especial ""oreja de elefante"" deliciosa.",1
"Muy buen servicio y atención del todo el personal, en especial el área de Banquetes. El desayuno buffet estuvo delicioso y la variedad de platillos también es muy buena. Recomiendo ampliamente que realicen sus eventos en el Hotel Krystal en Monterrey.",1
"Excelente servicio y atención personal. Muy buena coordinación en el area de Grupos y Eventos. Totalmente recomendables para ser hotel sede de eventos internacionales y nacionales de todos los ámbitos, en mi caso para un evento deportivo panamericano.",1
"El mes pasado mi prima tuvo su getting y me encantó el hotel, desde que la acompañé por información del getting y la señorita Cintia muy amable y respondiendo dudas. El próximo año me caso y quiero hacerlo ahí tambn.",1
"Excelente servicio y atención al cliente.Sobre todo de las Lic. Fernanda y la Lic. Gaby. En todo momento estuvieron al pendiente de nuestras necesidades. Muchas gracias por la atención prestada, seguramente nos verán muy pronto!!.",1
"Solo funciona un elevador y unicamente para subir, se puede apoyar con los de personal pero estan en un estado lamentable, la habitación comoda y amplia, por su parte el desayuno completo aunque algo caro, el personal en general amable.",0
"La ubicación es may buena, ya que da acceso a muchos lugares más, las habitaciones muy comobas y limpias. El restaurante, la comida muy rica y la atención excelente, principalmente por el mesero Gerardo",1
"El hotel es muuuy bonito, tiene habitaciones amplias y el personal es muy agradable, el restaurante cuenta con un desayuno muy amplio y la gerente Fernanda muy amable nos mostró los salones para eventos, ampliamente recomendado.",1
Alquilé una habitación para la noche previa a mi boda y el getting ready por la mañana. La atención de Sofía ha sido excelente. Aclara todas tus dudas y sabe tratar muy bien al cliente. El hotel es muy flexible con las novias y eso para mí fue el PLUS que buscaba para mi hospedaje.,1
"El hotel es muy viejo y no tiene muy buen mantenimiento. Tuvimos 2 habitaciones, en una se salía el agua del lavamanos, la otra de la bañera, el agua llegó hasta la habitación. Tenían espacio de refri, una con pero no servía y la otra sin. La verdad no lo aconsejo",0
"Está muy cerca de todo, puedes ir caminando a Barrio Antiguo, Macroplaza y Paseo Santa Lucía, también es limpio y bonito. En el desayuno buffet Sandra fue muy amable y nos cocinó unos omelettes muy ricos",1
"La comida que preparo la chef Sandra me gusto mucho, muchas gracias, se ve que le gusta su trabajo y que se esmera en complacer al comensal, amable. Me atendieron rapido de el plato muy bien presentado",1
"El hotel está hermoso y muy bien ubicado, las habitaciones son amplias y con una hermosa vista. Está frente a una placita que en la tarde hay música y llegan cientos de loros lo que hace el lugar espectacular y muy lindo.    El hotel se quedó sin agua, nos explicaron que hubo un mantenimiento en tuberias y se llevó muchas horas, nosotros entendimos porque fueron muy amables y nos auxiliaban con agua y realmente se veían comprometidos y apenados, cuando llegó el agua todo bien. Muy buen staff felicidades, debió ser estresante para ellos y siempre fueron amables",1
Todo Perfecto y agradezco las atenciones de la srita que estaba atendiendo en el buffet. Excelente servicio de Sandra Garcia y su amabilidad también Además la habitación muy cómoda y limpia. Excelente todo,1
"Nos gustó mucho nuestra estancia a pesar de que el internet era malo, la comida del restaurante estaba muy rica y la atención que nos dio la señorita Sofía fue muy buena, muy amable y servicial.",1
"Un hotel muy bien ubicado si deseas conocer el area del centro y barrio antigüo, buenas instalaciones, el Sr. Humberto un excelente servicio, mi camarista creo Romi (hab.419) siempre con un detalle lindo en la habitacion, Marco en el restaurante muy amable pero la mejor de todos SANDRA en el restaurante.",1
"Este fin de semana estuve de visita con amigas  La Atencion desde la bienvenida por el Valet, el aroma que se percibe en el lobby  la limpieza, todo el Personal muy atento y dispuestos a ayudar todo el tiempo, mi estancia en este hotel ha sido de lo más agradable.  Volveré pronto  Un saludo a todo el equipo !!",1
"Excelente atención de todos los empleados, el hotel muy bonito, amplias habitaciones y muy limpias y la comida en el restaurante muy rico todo, fuimos solo de fin de semana pero definitivamente regresaremos",1
Hotel centrico te queda todo cerca tiene muy buen servicio por parte del personal amables te sientes en un ambiente acogedor cuartos limpios buena comida en el restaurant en general todo muy bien execelente opcion para pasar el fin de semana,1
"Mi estancia fue el pasado fin de semana, tuvimos una buena atención por parte de Sofia, quien nos hizo la reserva, muy amable y servicial, nos gustaron mucho las instalaciones y sin duda volveremos al hotel",1
"Fui a un recorrido para conocer las habitaciones para mi getting ready y excelente la atención de Sofía muy amable y agradable, yo iba por la habitación más sencilla y terminé en la máster suite, bastante bonita la vista y muy bonita la habitación, ya estoy anciosa por hospedarme el día de mi boda ❤️",1
"Amabilidad al realizar el checo inn, la habitación la entregaron rápido y con muy buena limpieza, calidez en la habitación, desayuno muy bueno, en general el hotel se ve atractivo, con ganas de regresar a un viaje de familia",1
"Sandra Garcia en el buffete fue muy amable y cocino unos huevos muy deliciosos. Volveremos a comer y a regresar aqui. Todo el equipo tambien nos ayudo muy bien. Gracias por todo, tuvimos una experiencia maravillosa",1
